@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
23,male,553,0.749794080499,10,post_midnight,77,3.05,0.69314718056
?,male,507,0.845339622414,1,afternoon,286,8.81,2.99573227355
?,male,501,0.696770392024,1,post_midnight,43,2.78,1.09861228867
?,female,934,0.822670243799,12,night,90,5.11,0.0
21,male,481,0.702448291568,7,post_midnight,30,2.31,0.0
?,male,999,1.4061496715,11,early morning,51,3.919,2.3978952728
?,male,424,0.51440277619,9,evening,15,2.5,0
18,male,839,0.909384327572,12,early morning,2503,57.2,4.89034912822
20,male,1505,0,10,afternoon,192,6.22,1.09861228867
21,male,246,1.27272727273,12,evening,65,5.328,1.09861228867
?,male,971,1.71166564917,1,post_midnight,88,19.869,0
20,male,4495,1.21610322533,2,afternoon,7,7.42,1.38629436112
21,male,554,1.3546976292,9,post_midnight,3,5.429,0.0
?,male,539,0.679013451826,10,post_midnight,218,5.58,0
?,male,369,0.488806993897,1,post_midnight,22,3.068,1.09861228867
?,female,945,0.530160985964,1,post_midnight,1156,8.765,2.48490664979
20,male,369,0.538023128441,3,afternoon,252,4.702,1.09861228867
?,female,781,0.765479623902,3,morning,9,8.57,2.83321334406
19,male,1066,0.705103629304,8,post_midnight,174,2.67,0.0
?,female,724,0.567291100589,3,post_midnight,1,2.96,0
?,male,731,0.728757968406,12,evening,75,2.96,0
21,male,546,0.732353893818,7,post_midnight,53,6.051,2.07944154168
?,female,1019,2.20726495726,12,early morning,0,8.47,0.69314718056
?,male,636,0.730316607324,11,afternoon,70,3.258,1.79175946923
?,female,895,0.657280771835,4,afternoon,235,11.525,1.60943791243
26,female,389,0.909903583933,7,post_midnight,210,4.71,2.30258509299
?,female,1413,0,7,post_midnight,117,25.44,2.56494935746
21,male,86,1.76086136086,10,post_midnight,311,1.551,0.0
?,female,593,0.255813953488,9,post_midnight,191,1.847,0
21,male,862,0.580009814534,6,post_midnight,0,3.82,2.07944154168
?,female,395,0.681186056102,12,post_midnight,95,3.18,0.0
?,female,465,0.793715811804,12,afternoon,43,7.18,1.60943791243
21,male,838,0,10,post_midnight,432,3.681,0.0
?,male,711,2.20535714286,3,post_midnight,262,9.96,0.0
?,male,504,0.622732847084,3,post_midnight,457,2.977,1.09861228867
19,male,None,0.57457827055,4,post_midnight,556,5.86,0
?,male,752,0.716750919878,2,post_midnight,29,10.26,2.07944154168
?,male,731,0.578979308665,12,post_midnight,161,2.96,0
20,female,689,0.826294615028,6,post_midnight,152,5.885,0.69314718056
?,female,582,1.38158088235,9,evening,114,1.82,1.09861228867
20,male,499,1.04459821539,10,post_midnight,26,1.36,0.0
21,male,944,0.229294719878,11,night,18,6.296,1.38629436112
22,male,471,0.758932886242,7,afternoon,480,3.467,0
20,female,902,0,10,night,1149,2.62,0.0
?,male,422,0.454727605498,11,night,95,6.48,0.69314718056
20,male,4495,1.18238301929,2,evening,0,7.42,1.94591014906
20,male,492,1.4901327927,10,early morning,126,6.18,1.38629436112
