@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,female,593,0.444365485597,3,early_morning,84,3.95,0.0
?,female,240,1.43017520925,2,post_midnight,1688,5.622,2.83321334406
23,female,643,0.667122726705,10,post_midnight,4,4.57,1.09861228867
23,female,487,0.833770564214,7,post_midnight,193,5.38,0
?,female,237,0.684575511787,10,afternoon,57,5.23,0
20,male,305,0.710082349392,12,night,213,2.5,0
?,female,601,0.553763857146,1,early_morning,157,5.83,0.69314718056
21,female,225,0.59329653172,6,afternoon,36,1.5,0
22,male,829,0.909274387729,1,evening,498,8.656,1.09861228867
?,male,353,0.638994364446,4,early_morning,396,4.247,1.79175946923
?,female,493,0.618253334781,1,post_midnight,97,2.232,0
23,male,968,0.706418368352,11,evening,35,4.134,2.07944154168
?,female,616,0.589163766748,11,post_midnight,21,4.908,0
22,male,516,1.50801850318,1,early_morning,242,5.62,1.60943791243
?,female,988,0.892378837178,9,post_midnight,145,2.534,0.0
?,female,571,0.765557488491,6,post_midnight,3,3.05,0
?,male,485,0.724262858682,7,early_morning,1537,10.75,1.09861228867
?,female,279,0.719102573962,6,afternoon,63,4.45,0.0
?,female,593,0,9,evening,65,3.95,0
21,female,709,0.821984277461,12,post_midnight,862,4.582,0
?,male,1224,0.566418451667,11,night,127,5.25,1.09861228867
?,male,?,0.683883485241,9,post_midnight,70,7.36,2.19722457734
?,female,593,1.46544060961,3,evening,21,3.95,1.79175946923
22,female,634,0,3,afternoon,11,6.364,1.09861228867
21,female,474,0.583166312746,11,night,71,7.37,0
22,female,971,0.72398533092,8,post_midnight,73,5.566,0.69314718056
22,female,276,0.564349279891,7,night,333,3.0,0
?,female,368,0.588799529981,11,post_midnight,21,3.585,0.69314718056
20,female,1167,1.13791463233,9,post_midnight,10,8.1,0
?,female,661,0.768371441763,9,early_morning,51,5.05,0.69314718056
?,male,803,0.73910307805,8,evening,222,5.441,0.69314718056
21,male,739,1.31638506638,12,early_morning,601,4.596,1.60943791243
?,female,816,0.609662860531,6,post_midnight,163,3.418,0
?,female,347,0.575719452828,2,early_morning,157,2.51,0
?,female,1697,0.963786888113,8,post_midnight,52,16.7,2.07944154168
?,male,?,1.17906571372,8,post_midnight,31,22.21,4.02535169074
?,male,1245,0.809453276899,5,evening,86,12.93,2.8903717579
?,female,1138,0.57269887129,10,post_midnight,267,8.582,2.07944154168
?,female,1352,0,9,night,69,7.11,0.69314718056
?,female,1044,0.77278040411,10,post_midnight,141,15.58,1.94591014906
?,male,586,0.646588511763,3,afternoon,297,6.051,2.07944154168
?,female,924,0,10,post_midnight,31,7.629,0.0
?,male,746,0.703239820348,11,early_morning,28,13.186,1.79175946923
?,male,612,0.845234208691,7,evening,138,10.596,1.38629436112
?,male,305,1.00548560061,10,evening,545,5.031,1.79175946923
?,female,592,0.701895997395,5,afternoon,82,6.63,1.79175946923
?,female,654,0.597839701763,6,early_morning,?,4.42,2.63905732962
19,female,2595,1.00700685741,2,post_midnight,25,8.69,2.99573227355
?,female,1135,0.755456289772,9,evening,782,5.76,1.09861228867
22,male,796,0.68413184772,12,post_midnight,161,9.5,0
?,female,996,0.419444528287,1,post_midnight,68,6.644,1.09861228867
21,male,640,0.4,11,night,4,4.44,0
?,female,764,0.94154284401,12,night,10,6.727,2.48490664979
?,female,733,1.2402847778,4,evening,423,8.308,0.0
?,female,1236,0.930528516603,5,early_morning,27,17.14,1.09861228867
22,male,941,0.627596593429,3,post_midnight,1774,10.659,0
21,male,1050,0.576678517424,12,morning,26,4.095,1.60943791243
?,male,1093,0.598138435611,6,afternoon,164,6.763,2.30258509299
?,female,489,2.6,1,afternoon,96,4.24,0.69314718056
?,male,1618,0.628422038654,4,post_midnight,155,16.54,0.69314718056
?,female,715,0.0740740740741,10,post_midnight,75,2.352,1.38629436112
22,male,1042,1.36306150322,8,early_morning,152,4.181,0.69314718056
?,male,767,2.07534479409,9,early_morning,?,2.58,0.0
?,female,875,0,4,post_midnight,242,3.76,0
?,female,649,0.58718250254,11,night,187,4.299,0
21,male,207,0,12,post_midnight,?,1.57,0
?,female,493,2.45648836957,1,early_morning,148,2.232,0.0
?,female,404,1.11471062888,6,afternoon,303,8.141,3.17805383035
22,female,284,0.638071989557,8,evening,99,2.63,0
?,male,1247,1.21754846139,4,post_midnight,28,6.17,1.09861228867
32,female,854,0.797008316754,2,early_morning,252,12.91,2.99573227355
22,male,516,0.885329224165,9,afternoon,176,5.62,2.30258509299
21,male,1135,0.624362472634,8,post_midnight,65,13.95,0.0
18,female,1254,0.86783269198,2,early_morning,5,9.53,1.09861228867
?,female,1135,0.884899007048,12,early_morning,172,5.76,1.38629436112
?,male,577,0.601641083429,7,afternoon,207,1.571,0
?,male,132,0.78472036584,3,afternoon,112,2.06,1.09861228867
?,female,337,0.805617288188,9,post_midnight,3989,2.469,0.69314718056
21,male,640,0.897548143942,11,post_midnight,2,4.44,0.0
?,female,642,1.98325861947,3,night,20,10.39,0.0
19,male,812,5.62708333333,11,post_midnight,70,8.56,0.69314718056
23,female,?,0.977109216785,10,afternoon,135,8.27,0
20,male,1127,0.666093362416,12,evening,112,3.96,1.38629436112
22,male,1267,0.582186522558,8,post_midnight,49,11.02,3.17805383035
?,female,996,0.703599629227,12,post_midnight,145,6.644,3.4657359028
22,female,973,2.7125,4,evening,350,6.34,1.60943791243
?,female,721,0,8,afternoon,88,3.966,0
?,male,1432,0.950652474589,7,night,117,17.24,2.48490664979
22,female,626,0.81561085101,12,post_midnight,138,6.76,1.38629436112
?,male,511,0.816347858933,2,early_morning,335,6.24,1.38629436112
?,female,279,0.556342735346,2,post_midnight,118,4.45,1.79175946923
22,female,910,1.12537436231,2,post_midnight,5495,4.0,1.09861228867
?,male,1093,0.644106633013,10,post_midnight,164,6.763,2.19722457734
?,female,1002,0.629965647401,6,evening,113,11.03,2.3978952728
21,male,862,0.732568699588,8,early_morning,68,8.27,0.69314718056
?,female,1024,1.1075659445,1,post_midnight,10,8.707,1.09861228867
21,male,625,0.782569588833,4,night,1,3.551,0.0
22,female,364,0.507730088574,12,early_morning,58,7.75,1.60943791243
21,female,474,1.31452302747,2,evening,12,4.78,2.19722457734
?,female,924,0.661820838674,10,evening,37,7.629,1.60943791243
?,female,229,0.63770519286,5,night,7,1.321,0.69314718056
?,female,616,0.768288628156,10,afternoon,11,4.908,1.38629436112
?,female,1237,0.554058145852,9,post_midnight,434,9.0,0
?,male,?,0.966432463474,10,afternoon,166,7.36,3.25809653802
?,female,1697,0.778106614071,1,early_morning,144,16.7,0
?,female,797,0.621004887795,3,post_midnight,285,5.717,2.07944154168
?,female,612,0.683928018947,11,post_midnight,66,5.625,1.60943791243
?,female,682,0.991633563432,12,post_midnight,51,5.0,1.38629436112
?,female,301,0.763485809909,5,early_morning,458,6.07,1.38629436112
?,female,682,0.767262110667,1,morning,336,5.0,2.48490664979
?,female,517,0.542695914793,3,post_midnight,677,4.605,1.60943791243
21,male,640,1.24833173152,6,afternoon,190,4.44,0.69314718056
?,female,279,0.759324097482,9,evening,142,4.45,1.79175946923
22,male,1092,0.56265408699,9,night,186,17.259,0.69314718056
22,male,624,0.66450713174,2,post_midnight,75,2.47,2.3978952728
?,male,728,0.648341314359,9,early_morning,24,5.4,2.30258509299
?,female,?,0,9,post_midnight,26,5.223,2.30258509299
?,?,801,0.820520722409,4,afternoon,10,5.53,1.79175946923
23,female,976,1.02292208435,11,post_midnight,101,8.545,1.09861228867
21,male,1050,0.706400848921,2,post_midnight,21,4.095,1.09861228867
?,female,712,0.889272291806,10,post_midnight,191,3.707,0.0
?,male,570,0.619024985117,10,afternoon,662,4.531,1.94591014906
?,male,?,2.07534479409,11,early_morning,5,2.829,1.09861228867
